,V4,V4.1,V4.2,BTC
2020-01-01 00:00:00+00:00,10000.0,10000.0,10000.0,10000.0
2020-01-01 04:00:00+00:00,10000.0,10000.0,10000.0,10000.0
2020-01-01 08:00:00+00:00,10000.0,10000.0,10000.053691191082,9977.304355652795
2020-01-01 12:00:00+00:00,10000.0,10000.0,10000.053691191082,9959.842972173949
2020-01-01 16:00:00+00:00,10000.0,10000.0,10000.107382670438,10010.856244764009
2020-01-01 20:00:00+00:00,10000.0,10000.0,10000.107382670438,10006.508207958015
2020-01-02 00:00:00+00:00,10000.0,10000.0,10000.161074441798,9966.655819653404
2020-01-02 04:00:00+00:00,10000.0,10000.0,10000.161074441798,9869.337339804615
2020-01-02 08:00:00+00:00,10000.0,10000.0,10000.214766493978,9842.016713631927
2020-01-02 12:00:00+00:00,10000.0,10000.0,10000.214766493978,9881.730629426793
2020-01-02 16:00:00+00:00,10000.0,10000.0,10000.268458838167,9867.897225703267
2020-01-02 20:00:00+00:00,10000.0,10000.0,10000.268458838167,9664.605734146628
2020-01-03 00:00:00+00:00,10000.0,10000.0,10000.322151470635,9640.511517450997
2020-01-03 04:00:00+00:00,10000.0,10000.0,10000.322151470635,9620.169905769459
2020-01-03 08:00:00+00:00,10000.0,10000.0,10000.375844391387,9967.278945947257
2020-01-03 12:00:00+00:00,10000.0,10000.0,10000.375844391387,10161.26508484903
2020-01-03 16:00:00+00:00,10000.0,10000.0,10000.429537602284,10130.662660195387
2020-01-03 20:00:00+00:00,10000.0,10000.0,10000.429537602284,10162.359017676015
2020-01-04 00:00:00+00:00,10000.0,10000.0,10000.483231097738,10166.263942450825
2020-01-04 04:00:00+00:00,10000.0,10000.0,10000.483231097738,10149.051809489521
2020-01-04 08:00:00+00:00,10000.0,10000.0,10000.536924883345,10169.60112993568
2020-01-04 12:00:00+00:00,10000.0,10000.0,10000.536924883345,10154.286070357883
2020-01-04 16:00:00+00:00,10000.0,10000.0,10000.590618957242,10129.887214140814
2020-01-04 20:00:00+00:00,10000.0,10000.0,10000.590618957242,10151.90434319027
2020-01-05 00:00:00+00:00,10000.0,10000.0,10000.644313319426,10178.712621076902
2020-01-05 04:00:00+00:00,10000.0,10000.0,10000.644313319426,10351.027812203582
2020-01-05 08:00:00+00:00,10000.0,10000.0,10000.698007969904,10334.175707767614
2020-01-05 12:00:00+00:00,10000.0,10000.0,10000.698007969904,10278.09434132089
2020-01-05 16:00:00+00:00,10000.0,10000.0,10000.751702908674,10335.020390077061
2020-01-05 20:00:00+00:00,10000.0,10000.0,10000.751702908674,10304.888771956548
